Index,Image,Output
244,82368,No
245,87604,No
246,111532,No
247,26324,No
248,157524,Yes
249,206000,No
250,86980,Yes
251,196425,Yes
252,120749,No
253,92232,Yes
254,56206,Yes
255,102619,No
256,7697,No
257,156474,Yes
258,135161,No
259,186828,Yes
260,153684,No
261,162404,Yes
262,130251,No
263,75523,No
264,74769,Yes
265,15342,No
266,83134,Yes
267,175118,No
268,15673,No
269,204448,Yes
270,199631,Yes
271,144872,Yes
272,158729,Yes
273,13133,No
274,89966,No
275,36421,Yes
276,115051,Yes
277,112527,Yes
278,133325,No
279,204631,No
280,178336,No
281,149336,No
282,83242,Yes
283,84489,Yes
284,94848,No
285,80421,No
286,114072,No
287,190831,No
288,207336,Yes
289,151095,Yes
290,182010,Yes
291,138538,No
292,42906,Yes
293,38710,Yes
294,151122,No
295,104477,No
296,174781,No
297,36569,Yes
298,170302,No
299,89741,Yes
300,83703,Yes
301,98495,No
302,38790,Yes
303,73704,No
304,186330,Yes
305,141909,Yes
306,164970,Yes
307,23985,No
308,69156,No
309,70044,Yes
310,47695,Yes
311,94451,Yes
312,23263,No
313,100434,Yes
314,107558,No
315,78498,Yes
316,141596,No
317,61272,No
318,39785,No
319,179219,Yes
320,95445,No
321,112338,No
322,131286,Yes
323,33739,No
324,65961,No
325,41932,No
326,172805,No
327,173419,No
328,127658,Yes
329,95147,Yes
330,2052,No
331,136659,Yes
332,61578,Yes
333,133687,Yes
334,197309,Yes
335,74037,Yes
336,186832,Yes
337,53233,Yes
338,16886,No
339,151254,No
340,44070,Yes
341,65666,No
342,36707,No
343,447,No
344,142250,No
345,82939,No
346,62343,Yes
347,18770,No
348,97264,No
349,172747,Yes
350,98636,Yes
351,151160,No
352,180206,Yes
353,181748,No
354,99136,No
355,123052,No
356,154291,No
357,9087,No
358,26114,No
359,113322,No
360,41955,No
361,14488,No
362,77818,Yes
363,127613,Yes
364,60438,Yes
365,60181,No
366,69531,Yes
367,153449,Yes
368,21554,No
369,3987,No
370,17352,No
371,121476,Yes
372,55676,Yes
373,97461,Yes
374,34376,No
375,207164,No
376,37380,No
377,44479,No
378,103542,Yes
379,149,No
380,105546,No
381,17383,No
382,58767,Yes
383,119642,Yes
384,84864,Yes
385,185453,No
386,177560,Yes
387,59446,No
388,92598,No
389,134319,No
390,120091,No
391,86312,Yes
392,94793,Yes
393,147404,Yes
394,99704,No
395,165791,No
396,105855,Yes
397,175018,Yes
398,179786,Yes
399,202827,No
400,198988,Yes
401,140323,Yes
402,132633,No
403,43231,No
404,43139,Yes
405,111863,Yes
406,90377,Yes
407,76264,No
408,75330,Yes
409,53008,Yes
410,134538,No
411,109093,Yes
412,204301,Yes
413,75761,No
414,94731,No
415,5698,No
416,15753,No
417,195429,Yes
418,104628,Yes
419,79956,No
420,64347,No
421,123066,No
422,150889,Yes
423,151937,No
424,31029,Yes
425,158713,Yes
426,62674,Yes
427,56956,No
428,38941,No
429,121414,Yes
430,196311,Yes
431,171044,Yes
432,137212,Yes
433,138379,Yes
434,71943,Yes
435,83405,No
436,55190,No
437,115973,No
438,114316,Yes
439,21272,No
440,52999,Yes
441,160713,Yes
442,154305,No
443,194377,Yes
444,7471,No
445,207293,Yes
446,5499,No
447,60980,Yes
448,191261,Yes
449,124012,Yes
450,118604,Yes
451,157032,Yes
452,30861,Yes
453,57805,Yes
454,196707,No
455,134952,No
456,118892,No
457,46925,No
458,128699,Yes
459,139036,Yes
460,33401,Yes
461,114444,Yes
462,75487,Yes
463,22702,No
464,83467,No
465,38343,No
466,8325,No
467,58098,Yes
468,70944,Yes
469,136498,Yes
470,186358,Yes
471,202015,Yes
472,35693,Yes
473,181695,Yes
474,28000,No
475,201652,No
476,62933,No
477,95789,Yes
478,156521,Yes
479,190423,Yes
480,12764,Yes
481,181576,Yes
482,69409,Yes
483,185760,Yes
484,1866,No
485,157602,Yes
486,145959,No
487,51979,Yes
488,40400,No
489,49727,Yes
490,158533,No
491,135836,Yes
492,27346,No
493,160164,Yes
494,137037,Yes
495,110010,Yes
496,28775,No
497,69899,Yes
498,69076,No
499,103197,Yes
500,41175,Yes
501,189435,Yes
502,153516,No
503,8569,No
504,174976,Yes
505,132723,Yes
506,179325,Yes
507,203533,Yes
508,108066,No
509,145228,No
510,31514,Yes
511,91203,No
512,34497,Yes
513,78542,Yes
514,71385,Yes
515,139746,No
516,113021,Yes
517,177902,Yes
518,99647,No
519,209373,No
520,135836,Yes
521,55238,No
522,83749,Yes
523,45844,Yes
524,119929,No
525,197586,No
526,3267,No
527,11208,No
528,137028,Yes
529,43186,Yes
530,135833,Yes
531,32050,Yes
532,150045,No
533,202958,No
534,131247,Yes
535,93782,No
536,187985,No
537,89542,No
538,83090,Yes
539,128009,Yes
540,51824,Yes
541,89177,Yes
542,197297,Yes
543,187444,Yes
544,18725,No
545,46246,No
546,62974,No
547,12145,No
548,209530,No
549,46934,No
550,33396,Yes
551,80651,No
552,202476,Yes
553,166638,Yes
554,63009,No
555,98406,No
556,47638,Yes
557,198406,Yes
558,75585,Yes
559,169253,No
560,5339,No
561,112940,No
562,11686,No
563,203468,No
564,166480,Yes
565,205649,Yes
566,205220,No
567,20951,No
568,29192,No
569,150254,Yes
570,86921,Yes
571,127637,Yes
572,120569,Yes
573,72726,No
574,86241,Yes
575,14617,No
576,34688,Yes
577,128193,Yes
578,11891,No
579,120911,Yes
580,145419,Yes
581,72383,Yes
582,48107,Yes
583,185923,Yes
584,138115,No
585,176513,No
586,158447,No
587,24961,No
588,155765,Yes
589,134901,No
590,208712,No
591,93839,Yes
592,126783,No
593,93371,Yes
594,85581,Yes
595,195368,Yes
596,107710,Yes
597,146510,No
598,71479,No
599,142532,Yes
600,170652,Yes
601,121490,Yes
602,36028,No
603,190636,Yes
604,27110,No
605,56810,Yes
606,101424,No
607,27517,No
608,162518,No
609,168491,Yes
610,74104,Yes
611,58341,No
612,13552,No
613,112692,Yes
614,163180,Yes
615,147519,Yes
616,72634,Yes
617,107338,No
618,44440,No
619,160864,Yes
620,203112,Yes
621,133882,No
622,6377,No
623,202828,No
624,65017,Yes
625,123418,Yes
626,115786,Yes
627,76990,No
628,119943,Yes
629,124132,No
630,158173,Yes
631,1028,No
632,47460,No
633,76204,No
634,198609,Yes
635,107760,Yes
636,205026,Yes
637,31687,Yes
638,36734,Yes
639,199923,No
640,12014,No
641,146647,Yes
642,55081,Yes
643,102492,Yes
644,99922,Yes
645,133761,No
646,69255,Yes
647,194560,No
648,2302,No
649,4296,No
650,170424,No
651,166249,Yes
652,194431,No
653,179907,No
654,84035,No
655,203264,Yes
656,169383,No
657,163622,Yes
658,78086,No
659,60260,Yes
660,6284,No
661,58232,No
662,137390,Yes
663,183104,No
664,144474,Yes
665,80472,No
666,86659,Yes
667,184056,Yes
668,179482,No
669,9086,No
670,120110,No
671,31507,Yes
672,140908,No
673,25412,No
674,25119,Yes
675,135690,No
676,144044,No
677,202913,Yes
678,127967,No
679,20147,No
680,161877,Yes
681,169841,No
682,186408,Yes
683,112711,No
684,79875,No
685,58899,No
686,52418,Yes
687,16040,No
688,185930,No
689,150503,No
690,69638,No
691,207656,No
692,144957,Yes
693,33983,Yes
694,150755,No
695,111216,Yes
696,116055,Yes
697,77584,No
698,187882,No
699,76681,Yes
700,104739,Yes
701,4231,No
702,208756,No
703,118723,Yes
704,139112,Yes
705,141897,Yes
706,69012,No
707,175281,No
708,78751,No
709,205916,No
710,33605,No
711,94527,Yes
712,63452,Yes
713,145536,Yes
714,100908,No
715,34227,No
716,156080,No
717,161666,Yes
718,81208,Yes
719,142170,Yes
720,36800,No
721,37012,Yes
722,488,No
723,74217,Yes
724,80353,Yes
725,78622,No
726,91829,No
727,200724,Yes
728,121285,No
729,16225,No
730,61744,No
731,55956,No
732,78750,No
733,80756,Yes
734,71108,Yes
735,55833,No
736,144778,No
737,167723,Yes
738,78791,No
739,37516,Yes
740,165239,Yes
741,112052,Yes
742,108872,Yes
743,69106,No
744,114694,No
745,145391,No
746,26872,No
747,146039,Yes
748,79822,No
749,20438,No
750,45090,No
751,61207,No
752,118123,Yes
753,100398,No
754,168326,Yes
755,94534,Yes
756,81683,No
757,164156,Yes
758,207532,No
759,110426,No
760,23831,No
761,156375,Yes
762,202834,No
763,106001,Yes
764,98852,Yes
765,39340,Yes
766,114132,No
767,67187,Yes
768,156239,Yes
769,29577,No
770,60763,No
771,1002,No
772,19327,No
773,35706,Yes
774,131365,No
775,134044,Yes
776,29925,No
777,12313,No
778,199560,Yes
779,209425,No
780,208666,Yes
781,97865,No
782,88071,Yes
783,27900,No
784,94402,Yes
785,184952,No
786,44362,No
787,55284,No
788,91129,Yes
789,49446,Yes
790,13731,No
791,168807,Yes
792,127548,Yes
793,35650,Yes
794,122884,Yes
795,102232,Yes
796,23735,No
797,175297,No
798,52767,No
799,143426,No
800,141856,Yes
801,53236,Yes
802,32002,Yes
803,69221,Yes
804,108772,No
805,106490,Yes
806,80004,Yes
807,138354,Yes
808,179071,Yes
809,66710,No
810,191427,No
811,171580,Yes
812,161611,Yes
813,173420,No
814,520,No
815,22273,No
816,189500,Yes
817,28975,No
818,89384,Yes
819,50256,Yes
820,82487,Yes
821,70761,Yes
822,58319,Yes
823,191799,Yes
824,197522,No
825,20687,No
826,124375,No
827,177203,Yes
828,30697,No
829,157605,Yes
830,52616,Yes
831,42069,No
832,115312,No
833,50067,Yes
834,17789,No
835,146458,No
836,36946,Yes
837,163606,Yes
838,130729,Yes
839,16745,No
840,59465,No
841,206389,No
842,193700,Yes
843,9178,No
844,43438,Yes
845,162760,No
846,19353,No
847,134934,No
848,1579,No
849,33607,No
850,191221,Yes
851,110587,No
852,209242,Yes
853,64473,Yes
854,60840,Yes
855,134835,Yes
856,63322,Yes
857,101464,No
858,79746,Yes
859,152089,Yes
860,162865,Yes
861,96419,Yes
862,126259,Yes
863,39851,Yes
864,97352,No
865,96485,Yes
866,60916,Yes
867,207958,Yes
868,105145,No
869,78288,Yes
870,96521,Yes
871,175761,Yes
872,109994,No
873,172445,Yes
874,185531,No
875,130143,No
876,22103,No
877,67257,No
878,162585,Yes
879,25602,No
880,206028,Yes
881,44555,No
882,194074,Yes
883,59915,No
884,113229,Yes
885,91672,Yes
886,65825,Yes
887,54860,Yes
888,200721,Yes
889,103486,Yes
890,138378,Yes
891,13512,No
892,66444,Yes
893,96944,Yes
894,178161,Yes
895,106757,No
896,91326,No
897,161479,No
898,38196,Yes
899,103808,No
900,138929,Yes
901,119928,No
902,75754,No
903,126952,Yes
904,96244,Yes
905,11060,No
906,174346,Yes
907,151885,No
908,64612,Yes
909,122044,Yes
910,82510,Yes
911,21979,No
912,107452,No
913,95225,Yes
914,32480,No
915,196634,Yes
916,176031,Yes
917,11294,No
918,42873,Yes
919,32784,Yes
920,147307,Yes
921,177968,Yes
922,33509,No
923,166335,No
924,80905,No
925,61084,Yes
926,163421,Yes
927,124902,No
928,109037,Yes
929,120656,No
930,139024,Yes
931,89964,Yes
932,54427,Yes
933,148012,Yes
934,84830,Yes
935,64948,No
936,164335,Yes
937,168172,No
938,26684,No
939,148384,No
940,55214,No
941,106264,Yes
942,156177,No
943,174293,Yes
944,121460,Yes
945,88333,No
946,146396,No
947,9434,No
948,118287,No
949,30704,No
950,91389,Yes
951,133717,No
952,116009,Yes
953,92622,Yes
954,16117,No
955,167657,Yes
956,55529,Yes
957,152556,No
958,186722,No
959,153372,Yes
960,62369,No
961,24630,No
962,169493,Yes
963,12837,No
964,186057,No
965,3273,No
966,206738,Yes
967,107210,Yes
968,70468,Yes
969,164256,Yes
970,190970,No
971,153766,No
972,73210,No
973,64626,Yes
974,147622,No
975,58088,Yes
976,159345,Yes
977,104155,Yes
978,130488,No
979,134107,Yes
980,37128,No
981,160802,No
982,121200,Yes
983,106756,No
984,8217,No
985,119558,No
986,194081,Yes
987,10163,No
988,194899,Yes
989,2889,No
990,15549,No
991,97556,Yes
992,100841,No
993,126461,Yes
994,126582,No
995,94236,No
996,46499,Yes
997,204087,No
998,83672,No
999,23264,No
1000,44351,Yes
1001,15437,No
1002,61080,Yes
1003,25332,No
1004,43988,No
1005,87956,Yes
1006,31410,Yes
1007,172885,No
1008,15999,No
1009,17968,No
1010,87774,Yes
1011,21629,No
1012,18592,No
1013,4475,No
1014,31386,No
1015,103050,Yes
1016,5165,No
1017,158742,Yes
1018,134821,Yes
1019,27829,Yes
1020,143006,Yes
1021,30825,Yes
1022,199100,Yes
1023,176401,No
1024,141135,No
1025,180930,Yes
1026,27506,No
1027,198009,No
1028,124353,No
1029,56199,Yes
1030,118250,No
1031,70083,Yes
1032,44072,No
1033,135136,No
1034,159687,No
1035,11449,No
1036,112419,Yes
1037,122629,Yes
1038,113150,Yes
1039,79606,Yes
1040,24382,No
1041,166296,No
1042,29857,No
1043,74307,Yes
1044,206997,No
1045,96357,Yes
1046,39307,Yes
1047,103178,No
1048,67883,No
1049,174573,Yes
1050,96005,No
1051,154896,No
1052,50948,No
1053,179731,Yes
1054,126596,No
1055,180974,Yes
1056,76137,Yes
1057,178835,No
1058,187056,Yes
1059,26557,No
1060,175594,Yes
1061,15848,No
1062,179997,No
1063,126072,No
1064,6455,No
1065,107025,Yes
1066,182004,No
1067,151584,Yes
1068,31584,Yes
1069,70284,No
1070,194001,Yes
1071,134756,Yes
1072,105046,No
1073,56422,No
1074,140382,Yes
1075,78730,No
1076,186556,No
1077,100610,Yes
1078,42090,No
1079,98903,No
1080,183456,Yes
1081,96795,No
1082,136315,No
1083,93934,Yes
1084,2559,No
1085,68993,Yes
1086,206034,Yes
1087,42510,No
1088,19440,No
1089,146160,Yes
1090,11399,No
1091,69339,Yes
1092,77820,Yes
1093,34297,No
1094,91316,No
1095,142642,Yes
1096,156100,No
1097,169028,Yes
1098,157574,Yes
1099,82487,Yes
1100,31039,Yes
1101,164591,No
1102,14196,No
1103,51238,Yes
1104,192559,Yes
1105,39305,Yes
1106,152145,Yes
1107,149298,Yes
1108,7612,No
1109,17146,No
1110,15142,No
1111,95189,Yes
1112,151643,Yes
1113,73068,Yes
1114,107626,Yes
1115,46120,Yes
1116,143233,Yes
1117,81476,Yes
1118,128885,Yes
1119,20054,No
1120,113484,No
1121,164583,No
1122,81492,Yes
1123,127829,No
1124,116679,Yes
1125,7683,No
1126,102027,No
1127,34317,No
1128,16046,No
1129,205199,Yes
1130,65609,Yes
1131,27282,No
1132,47867,Yes
1133,146696,Yes
1134,126148,No
1135,158542,No
1136,84798,No
1137,26731,No
1138,55680,Yes
1139,200825,Yes
1140,20202,No
1141,155609,Yes
1142,29787,No
1143,101589,No
1144,103176,No
1145,156143,No
1146,151069,Yes
1147,119157,Yes
1148,46453,Yes
1149,169805,No
1150,160150,Yes
1151,137448,No
1152,89903,Yes
1153,179936,No
1154,198027,No
1155,158761,Yes
1156,198819,Yes
1157,200019,Yes
1158,99617,No
1159,197082,Yes
1160,201494,Yes
1161,55826,No
1162,171948,Yes
1163,203851,Yes
1164,190020,Yes
1165,60606,No
1166,130421,Yes
1167,138975,Yes
1168,170850,Yes
1169,168046,No
1170,123712,No
1171,131798,Yes
1172,71369,Yes
1173,183286,Yes
1174,20305,No
1175,23558,No
1176,149684,Yes
1177,180004,No
1178,66672,No
1179,16706,No
1180,86972,Yes
1181,197425,No
1182,136084,Yes
1183,91183,Yes
1184,31647,Yes
1185,44416,No
1186,36564,Yes
1187,147212,Yes
1188,30079,No
1189,135700,No
1190,143869,Yes
1191,95814,Yes
1192,125177,Yes
1193,70032,Yes
1194,9651,No
1195,61858,No
1196,65528,No
1197,115727,No
1198,1006,No
1199,17383,No
1200,77683,Yes
1201,11753,No
1202,9127,No
1203,135847,Yes
1204,83651,No
1205,95768,Yes
1206,51778,No
1207,152480,No
1208,155621,Yes
1209,191634,Yes
1210,185549,No
1211,46158,No
1212,142546,Yes
1213,32775,Yes
1214,172386,No
1215,197099,Yes
1216,114402,Yes
1217,77779,Yes
1218,1490,No
1219,99609,No
1220,147372,Yes
1221,40727,Yes
1222,54849,Yes
1223,76008,Yes
1224,126125,No
1225,147475,Yes
1226,28919,No
1227,97088,Yes
1228,140711,Yes
1229,18895,No
1230,65432,No
1231,16787,No
1232,2221,No
1233,141687,No
1234,199730,Yes
1235,99332,Yes
1236,39575,Yes
1237,35614,Yes
1238,28096,No
1239,51453,Yes
1240,88415,Yes
1241,130098,Yes
1242,52671,Yes
1243,79182,Yes
1244,90914,Yes
1245,202020,Yes
1246,2562,No
1247,63775,No
1248,80673,Yes
1249,144572,No
1250,33803,Yes
1251,91076,Yes
1252,42401,Yes
1253,150428,Yes
1254,117685,No
1255,16982,No
1256,10924,No
1257,165727,No
1258,154224,No
1259,173778,Yes
1260,105802,Yes
1261,93924,Yes
1262,21856,No
1263,41709,Yes
1264,100350,No
1265,109353,No
1266,92750,Yes
1267,86593,No
1268,66539,Yes
1269,132909,Yes
1270,17354,No
1271,70900,No
1272,42559,No
1273,197408,No
1274,155559,No
1275,40193,No
1276,195468,Yes
1277,161785,Yes
1278,200054,Yes
1279,27609,No
1280,66444,Yes
1281,195642,No
1282,207763,No
1283,115810,No
1284,190720,Yes
1285,50114,Yes
1286,111085,No
1287,90435,Yes
1288,177066,No
1289,143737,Yes
1290,153788,No
1291,95316,Yes
1292,182448,No
1293,200800,Yes
1294,209594,No
1295,26055,No
1296,66716,No
1297,171123,No
1298,51039,No
1299,166811,No
1300,22098,No
1301,33776,No
1302,40204,No
1303,202822,No
1304,43472,Yes
1305,144535,No
1306,190367,Yes
1307,127661,Yes
1308,10131,No
1309,75410,Yes
1310,29120,No
1311,36704,Yes
1312,19178,No
1313,131346,Yes
1314,48346,Yes
1315,34561,Yes
1316,41039,Yes
1317,6772,No
1318,101530,No
1319,4938,No
1320,81168,No
1321,196869,Yes
1322,88337,No
1323,126722,No
1324,201053,No
1325,112301,No
1326,123384,Yes
1327,194884,Yes
1328,111339,Yes
1329,145882,No
1330,199391,No
1331,200288,Yes
1332,170618,Yes
1333,155689,Yes
1334,43007,Yes
1335,23925,No
1336,160176,No
1337,77182,Yes
1338,41618,Yes
1339,39671,No
1340,37015,Yes
1341,32070,Yes
1342,153522,No
1343,75422,Yes
1344,161823,Yes
1345,67787,Yes
1346,92406,No
1347,115369,No
1348,164927,Yes
1349,185009,Yes
1350,142560,Yes
1351,97757,No
1352,152597,No
1353,103192,Yes
1354,207022,No
1355,81620,No
1356,32236,Yes
1357,105103,No
1358,202756,No
1359,175039,Yes
1360,198054,No
1361,59598,No
1362,205605,Yes
1363,23964,No
1364,21148,No
1365,183313,Yes
1366,139997,No
1367,151048,Yes
1368,189101,No
1369,20365,No
1370,117567,No
1371,181126,No
1372,5326,No
1373,28920,No
1374,194566,No
1375,148082,Yes
1376,63678,No
1377,88855,No
1378,6093,No
1379,144529,Yes
1380,101892,Yes
1381,6871,No
1382,205665,Yes
1383,97881,No
1384,54289,Yes
1385,75781,No
1386,7873,No
1387,59698,Yes
1388,42876,Yes
1389,54155,Yes
1390,195545,Yes
1391,133791,Yes
1392,173662,No
1393,165194,No
1394,91555,Yes
1395,164599,Yes
1396,192020,No
1397,69069,No
1398,199602,Yes
1399,194483,No
1400,166395,No
1401,86586,No
1402,22417,No
1403,144722,No
1404,48608,No
1405,108355,Yes
1406,204798,No
1407,19077,No
1408,101575,No
1409,31347,No
1410,115847,No
1411,131899,Yes
1412,117132,No
1413,12104,No
1414,118834,No
1415,144737,No
1416,74015,Yes
1417,204091,No
1418,91735,Yes
1419,110121,Yes
1420,157653,Yes
1421,199382,No
1422,196627,Yes
1423,3510,No
1424,88220,No
1425,114476,Yes
1426,32056,Yes
1427,56807,Yes
1428,150002,No
1429,201948,Yes
1430,206557,No
1431,29299,No
1432,55211,No
1433,179447,No
1434,197822,Yes
1435,190483,Yes
1436,198805,Yes
1437,13812,No
1438,83296,Yes
1439,78062,No
1440,20847,No
1441,86866,Yes
1442,9457,No
1443,191933,No
1444,136795,No
1445,97292,No
1446,174848,Yes
1447,180465,Yes
1448,199165,No
1449,81943,Yes
1450,57506,No
1451,155773,Yes
1452,13852,No
1453,156558,No
1454,106665,Yes
1455,160108,Yes
1456,81747,No
1457,50731,Yes
1458,131731,Yes
1459,114465,Yes
1460,186302,Yes
1461,140812,Yes
1462,9191,No
1463,165583,Yes
1464,135337,Yes
1465,113890,Yes
1466,46104,No
1467,117663,No
1468,118911,No
1469,85071,Yes
1470,16458,No
1471,93361,Yes
1472,55120,No
1473,123354,Yes
1474,194210,Yes
1475,153936,Yes
1476,108171,Yes
1477,149391,Yes
1478,36464,Yes
1479,40523,Yes
1480,162235,Yes
1481,61683,Yes
1482,182767,Yes
1483,202916,No
1484,201503,Yes
1485,4221,No
1486,149350,No
1487,21629,No
1488,61061,Yes
1489,207056,No
1490,89584,No
1491,96803,Yes
1492,169757,No
1493,190391,No
1494,90622,No
1495,87035,No
1496,207496,Yes
1497,191359,No
1498,134437,No
1499,104162,Yes
1500,112429,Yes
1501,180812,Yes
1502,153656,No
1503,145763,No
1504,59610,Yes
1505,134163,Yes
1506,181808,No
1507,13810,No
1508,87881,Yes
1509,203177,Yes
1510,108516,No
1511,1128,No
1512,32224,Yes
1513,181754,No
1514,95282,Yes
1515,90613,No
1516,148186,No
1517,97167,No
1518,12739,No
1519,17923,No
1520,32233,Yes
1521,37701,No
1522,17745,No
1523,105631,No
1524,14791,No
1525,61743,No
1526,26927,No
1527,138342,Yes
1528,125252,Yes
1529,175671,Yes
1530,26238,No
1531,137757,Yes
1532,147158,No
1533,102758,No
1534,20372,No
1535,126524,Yes
1536,147941,Yes
1537,102254,Yes
1538,53797,Yes
1539,5329,No
1540,125372,No
1541,202824,No
1542,127258,No
1543,65838,Yes
1544,203967,No
1545,84701,No
1546,14039,No
1547,134217,Yes
1548,159758,No
1549,118256,No
1550,53957,No
1551,51048,No
1552,136261,No
1553,68204,Yes
1554,22006,No
1555,208127,No
1556,71141,Yes
1557,75822,Yes
1558,83719,Yes
1559,102937,Yes
1560,132874,Yes
1561,190000,Yes
1562,102366,Yes
1563,66341,Yes
1564,29624,No
1565,36188,No
1566,1293,No
1567,77572,No
1568,31601,Yes
1569,200953,Yes
1570,11550,No
1571,73373,No
1572,143724,Yes
1573,120410,Yes
1574,77253,Yes
1575,119929,No
1576,77883,Yes
1577,130264,No
1578,175941,No
1579,201884,Yes
1580,175638,Yes
1581,133288,No
1582,84204,Yes
1583,38245,Yes
1584,189966,Yes
1585,64290,No
1586,101575,No
1587,91546,Yes
1588,122907,Yes
1589,199206,No
1590,16831,No
1591,161180,Yes
1592,80573,Yes
1593,99142,No
1594,90499,Yes
1595,61183,Yes
1596,33078,No
1597,155397,No
1598,83394,Yes
1599,207923,Yes
1600,147780,No
1601,104577,No
1602,13989,No
1603,103507,Yes
1604,95622,Yes
1605,12434,No
1606,55369,Yes
1607,76317,No
1608,108221,Yes
1609,21956,No
1610,130802,No
1611,183669,Yes
1612,161105,Yes
1613,192401,Yes
1614,80917,Yes
1615,68167,Yes
1616,63871,No
1617,47420,No
1618,102509,No
1619,126586,No
1620,135226,Yes
1621,116220,Yes
1622,123324,Yes
1623,53021,Yes
1624,43376,No
1625,174405,Yes
1626,3596,No
1627,21530,No
1628,51457,Yes
1629,131906,No
1630,73285,No
1631,8847,No
1632,85219,No
1633,35161,Yes
1634,44502,No
1635,14861,No
1636,168042,No
1637,49424,Yes
1638,137366,No
1639,184529,Yes
1640,83268,Yes
1641,90670,No
1642,11952,No
1643,183380,Yes
1644,173238,Yes
1645,62150,Yes
1646,146082,Yes
1647,66178,No
1648,105988,Yes
1649,154504,Yes
1650,18399,No
1651,73302,No
1652,103993,No
1653,108572,No
1654,148052,Yes
1655,11821,No
1656,206407,No
1657,186697,No
1658,45803,Yes
1659,127032,Yes
1660,89213,Yes
1661,108956,Yes
1662,198001,Yes
1663,16193,No
1664,65273,Yes
1665,114044,No
